,Unnamed: 0,source,review_id,review_date,review_description,rating,user_name,review_title,developer_response,developer_response_date,thumbs_up,laguage_code,country_code
0,0,App Store,171ba128-e661-405c-8a8b-e0afda033daf,2022-02-25,"I’ve used this app for years, and every time they update it, it gets more helpful. Today I saw an “upcoming transactions” button in my account view that I’d not seen before, and when I pressed it, the app listed all the direct debits that were due to go out of my account in the next week - which, by sheer coincidence, is exactly what I’d opened the app to find out. The app has this “effortlessly helpful” quality that has inspired me to write a review; I can’t remember the last time needed to in log into the Online Banking web portal, because the Barclays app does everything. I genuinely think all banks should take notes on what the Barclays dev team have done here - the app doesn’t just make day to day banking easier, it is the only app I’ve ever used that has genuinely useful “money management” features (rather than gimmicks and charts that just look pretty). By contrast, I also have an account with HSBC, and their app has always been dreadful to use (even after the recent updates), so I really see the difference first hand. Excellent work from Barclays - thank you!",5,dldwoods,Flawless. All banking apps should be like this.,,,,en,gb
1,3,App Store,578db545-de74-4325-a59e-b4e316bc9e75,2022-09-03,"This app is great when it works, Barclays has gone down hill as a banking system in the 25 plus years I have been with them, of late when I have needed them to function at their best for me to be able to use them for their purpose they have had nothing but problems with the software and trying to resolve any issues via it be the app ( that was a waste of half a day) or the phone (a waste of the other half) would of been quicker to have gone to a branch of only they hadn’t closed them a round where I live nearest branch 15 miles away and only open reduced hours, so half a day of work to book a slot to visit. Have moved to Lloyds bank far superior, would recommend to anyone. Also I have had a overdraft service for £5000 for years never used so I understand them reducing it but to £0 with out telling me or so called a letter was sent. ( not received) it was a safety net if I was unable to arrange cash payments in to the bank as stated branches are far and few round me with reduced hours on opening. Can’t pay cash in to an app.. so when contacted to arrange having the overdraft reinstated was told as I don’t use it I can’t have it? My credit rating is Excellent can’t get any higher, so no issues of faulted payments. Again Lloyds bank far more helpful.",2,Lucozade666,Bring back the branch,,,,en,gb
2,4,App Store,c6b23421-b3d0-4859-9149-b8915c66daf3,2022-07-28,"I’m happy with the latest version of the app, my only criticism of the previous version is that the if a new update is available and you don’t have your internet access on , the app won’t open until you have updated it again (which is an issue for anyone who is ‘out and about’ but have a very low battery or a poor signal! If you need to transfer money between your accounts in order to buy something and you get the “you need to update your Barclays mobile banking app first before you can use it “ message, and you have a poor signal, you can not do anything! I don’t know if this newest version has sorted it out yet because it’s not happened to me with my latest iphone but it happened to me twice using my old phone! Apart from that I love the app! I hope it’s now sorted out (and it give s you a pre warning message a few days before the update is available and mandatory! ) well done Barclays! I hope you have fixed this problem! If not you need to!",5,Mattyksnook77,Best version so far,,,,en,gb
3,6,App Store,9c7536bf-df02-4985-a0d8-bcef2f16f454,2022-12-04,"Why does simply browsing through the credit cards available on the Barclaycard section of this app initiate a soft search on my credit record? I’m interested in taking out a credit card, so I’m merely shopping around and browsing through to see what rates are available, not inputting my details to check any success for an application or anything like that at all, and there’s a section on the Barclays app to Barclaycard to see what cards are available. 

Meanwhile I check my credit record on Equifax and saw a load of soft searches initiated by Barclaycard and Barclays Group, when I never checked any eligibility criteria for any credit cards whilst on the Barclaycard part of the Barclays app. It’s like the Barclaycard app records each time I merely open the section and lays it on the credit record. 

A load of soft searches on a credit record wrecks it because when you make an application to lenders and they see the load of soft searches, they think you’re desperate and refuse to accept any applications. Of course I opened a dispute with Equifax and got most of them removed, but I’m writing this to warn people interested in taking out a credit card to watch out for this sort of behaviour within the Barclays app.",1,DarthHayder,Browsing the Barclaycard section in this app initiates a credit check each time?,,,,en,gb
4,7,App Store,e4c89f55-47d7-4290-9550-720b0d248954,2022-08-16,"Normally I’m happy to recommend the Barclays app to anyone who asks but following an update last week there is one particular part I cannot access. The link it there but whenever it is pressed it takes me somewhere different.

This has been made an impossible situation as after going via the chat bot and being told I could leave the conversation and receive a notification once I had a real person to talk to, I did just that. I received the notification, returned to the chat… and no one was there. For 20 minutes I tried to get their attention by sending messages. There is no option to open a new chat and find a person to talk to. And judging from the original chat that told me I could leave because it would be 16 minutes until a colleague became available, I would still be waiting to talk to a person after an hour had passed from my original enquiry. 

Thoroughly disappointed in the whole process. The 3 stars are for the functional parts. The 2 missing are for everything else. I can’t do what I need to do to keep myself and my money safe but accessible.",3,N Rgs,It was great until I updated it,,,,en,gb
5,10,App Store,232eaad2-d3fd-4060-a2e4-2d2803d8170a,2022-10-22,"The Barclays app works on a day to day basis and let’s you check your balance on the go…. once setup that is! Honestly… this app has THE worst and MOST frustrating setup systems known to man that I have ever encountered in my years on iPhone. I’ve constantly had issues with setting up this app on 2 different phones in the past and I dread re-setting it all up everytime I have to reinstall this poxy app. There’s NO login option for previous users upgrading; so you either have to re-register completely or setup a new Barclays account altogether. Ridiculous and stupid! How did nobody test these systems in other locations outside of their premium-grade office before releasing this?

The cheque system is also complete rubbish as well as it NEVER picks up the quality properly, and unless you’re in a professional studio with professional lighting - you’re going to be heading down the bank to pay in cheques like you always have, more often than not probably. Dumb and flawed system here too.

If these systems got worked out? Great, finally the app would be worth giving some credit to - but until then we have to live under sufferance.",2,lynchmaleideal,Frustrating setup procedures hinder a decent app…,"{'id': 31149058, 'body': 'Hi there. Thank-you for this feedback. We are aware of the issue you have described and we are working towards correcting this in future releases of the app. Please bear with us on this. Many Thanks. RE', 'modified': '2022-07-28T16:06:54Z'}",,,en,gb
6,17,App Store,62d3aa4d-c3e9-4315-8027-df73302daca2,2022-05-19,Being a Barclays customer of 53 years YES 53 YEARS! And using their internet banking regularly from my home laptop I thought as I was going to be away from home for a while I would get with the times and download this app to manage my account on my phone rather than take my laptop. As ever with this poxy bank nothing worked. I naively thought that I would be able to set it up using details from my debit card and my existing security information associated with the account to use in parallel with my existing access arrangements I.e. internet banking from my laptop but oh no. When I entered my mobile number (after ticking that I was an existing customer) the stupid thing said that this number was already associated with an existing account and that I should enter another phone number to continue. Well done Barclays you have excelled yourself in the field of abject stupidity and zero customer service once again. Why am I still with you after all these years? Too much effort to switch perhaps and no I am not expecting any feedback from you. Why break a customer service habit of a lifetime,1,Sir askalot,Absolutely useless from Barclays yet again,"{'id': 29999016, 'body': 'Hi there, sorry to hear that you have endured this experience with our app. If the app is indicating that the mobile number is already associated with a Barclays Mobile Banking registration, this suggests that there is an existing registration under your mobile number. Please contact our customer services so that we can check this for you and allow you to register smoothly for the app. You may find the contact number on the reverse of your debit card. Many thanks. RE', 'modified': '2022-05-27T07:11:49Z'}",,,en,gb
7,18,App Store,2efa3baa-463e-4e9c-af3d-34bb2c8d98a3,2023-01-19,"I am now unable to make payments that require the verified by visa process since they have removed the text message verification option. I have notifications turned on (I get all the others) but I don’t get one to verify it’s me trying to do a transaction. Therefore I can’t spend my own money unless there is an Apple Pay or PayPal option. The chat feature is useless and takes hours for a reply and then you have to go back to the beginning every time there is a lapse in their replies.

Where is my Monzo card??

The Spending feature is great but would be even better if it allowed you to create custom categories such as ‘Birthday/Christmas gift’. I seem to spend a lot of money on hen parties and weddings so I would like to be able to categorise that. It would also be good to be able to delete categories you don’t use so that it’s easier to sort. In addition it would help if the app started to learn which payments go into which categories and automatically put them there. Hoping the UX team read these comments!!",2,DaNiElLe7846,Verified by visa verify in app does not work,,,,en,gb
8,22,App Store,a6b198e2-240d-4d73-812b-2d5db8447057,2023-01-04,"This app has for a long time been the best of my banking apps but since version 3.20 dropped (and/or the new iOS came out) some bugs have crept in for the first time ever. Firstly, the biggest flaw is that notifications are broken (other reviews in Dec 22 have said the same thing) - the “push notifications” toggle switch won’t stick in the “on” position (it reverts to “off” automatically, meaning no notifications are possible). This is a fault and needs rectifying. Secondly the app now freezes a LOT - this has never happened before, but now happens daily, on every single screen. I have an iPhone 13 on iOS 16.2 so there should be no lag, but I (and my partner) have this regularly. This is annoying and inconvenient and I have lost track of the number of times I’ve had to restart an important transaction because the previously flawless app now has bugs in it. 
Please can you sort this out ASAP- this is a 5* review for versions 3.19 and earlier, and 1* for version 3.20.",3,YellowCape,"Leicester, we have a problem…",,,,en,gb
9,23,App Store,57c20201-495b-43c8-8d20-43bc5c563e35,2022-07-29,"I’ve had this app in the past. I rarely used it so, therefore, deleted it, however, I then needed to order a replacement card reader as Barclays “helpfully” no longer keep them in the branch. The process to re-download the app was so over-complicated that I gave up. If I had a working card reader I could easily use that to download the app - but the only reason I was downloading it was because I NEEDED A NEW CARD READER!  Without the reader I had to jump through so many hoops it became impossible. I provided my mobile number, my current account and debit card details and even photos of my driving licence. At this point I was then asked to take a SELFIE VIDEO of myself. I am 53 years old, not a twenty-something,tech-savvy instagram idiot, I DO NOT TAKE SELFIE VIDEOS. If Barclays are so keen on pushing their customers out of the branch and on-line they really need to understand that a huge proportion of the population find technology daunting at best and not make things so difficult for the customers they profess to value. It’s not like I’ve never had this app before so why treat me like a performing monkey when I want to re-download it.",1,Sneeze7,Rubbish,,,,en,gb
10,28,App Store,808319d2-03b2-460f-b201-9decc03ec070,2022-05-10,"I love this app, as my bank it allows me to do everything via my mobile.  The only two things that really find annoying (sorry, I did say I loved it), are when I transfer between accounts, it used to fit on one screen, select account from, account to, amount, send. You then changed the app so I now have to scroll down to click send. You had something in 4 clicks, now it’s 3 clicks, a scroll and another click??? Makes no sense. Then you get a system level pop-up saying the money has been transferred. That’s stays on the screen for about 4-5 seconds where I cannot clear the pop-up, nor can I interact with my phone. The pop up is overkill, and stops my ability to use my phone for a few seconds. Change the alert to within the app gui and allow me to clear it. Hopefully you read  these and do something with the feedback 👍",4,TheSmithster,Tune the features used most,,,,en,gb
11,29,App Store,ab487a70-daa2-4a16-89a1-33d8c5e968ef,2023-04-20,"I switched to Barclays when they were offering a large Avios reward in conjunction with the Barclaycard CC and was impressed at the start. Seemed simple (as simple as my other banking apps at least) and the bonus trackers for Avios rewards (annual spend amount and anniversary date) were terrific.  Then the trackers went away and the amount of time spent with customer service either within the app chat, talking directly, or even worse, the dreadful sms option, has left me extremely disappointed with it all. Am I going to change banks because of it? No, the rewards are fantastic and I travel a lot.  However, after being re-directed to what seems like every other department except the one that can solve the issue is ludicrous. Or, worse, being told by an agent that it’s there and they can see it clearly, is frustrating and doesn’t help anyone because, I, the customer, cannot. I will happily change and amend the rating when it doesn’t but for the time being, the app is dreadful. 

Barclays, please fix the your app!",1,UK Dave the fifth,"Started strong, changed recently, now disappointed.",,,,en,gb
12,31,App Store,eb75919c-6022-4218-b321-dc37af94fc50,2022-11-18,"Gird your loins if you intend to use the cheque deposit feature. You have to take a clear photo of the cheque using a magical camera with a mind of its own that will do its best to stop you succeeding. 

 First you arrange the cheque within the guidelines in the viewfinder. There's no shutter button, maybe it will take a photo while you're still lining it up or rotating your phone, maybe it'll make you just hold your phone there for a while until it thinks you are desperate enough. Nevertheless, it's not impossible to capture what *should* be a great image, it's just made unnecessarily hard. 

 Wait for the next step though. The app shows you what it has done to the image. You guessed right! It has applied a random skew distortion to your perfectly flat cheque, and then also cropped one edge of it off complete with text, even though it was placed on a simple, contrasting, background. It asks you if the image is complete and in focus, you say no, you repeat the process a few times. 

 Eventually you get past the trials of step two. You can submit your images. Now the bank's back-end tells you the image is not acceptable, and you go back to step one. 

 After a few minutes trying to submit anything that seems vaguely acceptable from Barclay's magical camera, the computer says yes. I guess it's still less hassle than going to a branch though.",3,AlexDBird,"Better than many, but cheque deposit is kafkaesque","{'id': 27443184, 'body': 'Hi Alex, thanks for your comment. Have you been able to get this sorted? We will pass these comments to our app developers to improve this experience. Thanks, Nick', 'modified': '2022-01-14T11:32:56Z'}",,,en,gb
13,39,App Store,a13dd953-1f83-4f59-b962-937d0c8f44be,2022-11-12,"It would be very good if you could go out of the app and then come back in the same page you were on instead of going back into the account and down the transaction to find something. I understand it’s a security reason but if we had the choice to stop this I would really love it. I write down my expenses on excel so everything I go out of the app to type the transaction and figure and then come back in I have re enter the right account go down to the transaction I was on and then continue doing it. My transactions can go over 30 transaction so to do this every time becomes annoying. Please can you improve this. The other banks I’m using like Natwest, nationwide and hsbc doesn’t have this problem. I can continue from the transaction I was on but only Barclays this is a problem.",3,Raihaan Ahmed,Screen time doesn’t work. Always goes back to main screen if you go to a another app even for 1sec.,,,,en,gb
14,41,App Store,8171a61c-919e-4e27-bbc0-2d8c691faf16,2022-05-15,"The App is ok. I like the colour scheme which is simple (blue and white). This makes it easier to read things and stay in the app longer. The fonts in the iPhone App do look very thin and the style looks a bit outdated. The app has no shadows and it is very prominent that the developers didn’t put much effort in using Apple’s API to deliver richer user experiences (e.g something as simple as using the system font, applying some gentle shadows, rounded corners in some areas could make a big improvement)… The App still feels a bit like browsing a website, rather and an app and I can’t tell why, but wouldn’t be surprised if the developers used some third part tool to cut corners and make it a more generic JavaScript based app.. or at least that’s what it feels like….
The feeling the App gives me is… we had to make this app because every other bank has an app so we had no choice but to make one too",3,gbdavid,The styles and fonts are a bit outdated,"{'id': 29816808, 'body': ""Hi there. We've recently enabled the font to scale with what font size has been set on your device within accessibility settings. This can be found: Settings->Accessibility->Display and Text Size -> Larger Text. If this is enabled on your device then we now reflect this in the app. The setting is so that customers who use the larger text option can use the app more easily. Please can you let me know what device you are using if this feature is not enabled and you are still having an issue. With regards to font type and colour scheme, we will pass the feedback on to our app developers with a view to improve them in future. Thanks. AG"", 'modified': '2022-05-18T10:42:10Z'}",,,en,gb
15,52,App Store,ae1d0aea-6208-4f55-af7d-6607378e655f,2022-06-25,"The app stopped working on my rather old phone and wouldn't update anymore. For a couple of weeks on my brand new phone I again found the app full of promise and convenience... until Barclays decided to block me logging into it... and then they couldn’t figure out how to undo what they'd done. Time has moved on since I last reviewed this app. More bank branches have closed, where you might have communicated directly with an intelligent human. Alongside that, there are fewer options to communicate via the app and get anything other than a robotic/moronic response. Statements no longer download directly from the app - I have to copy & paste, or email the statement from the app to myself. And Barclaycard statements are never on the app when they email to say it is. So sadly, in this case, technology does NOT seem to be developing to make life easier or more straightforward.",3,Marieka86,Frustrating,"{'id': 30623788, 'body': ""Hi there. Please let us know if the chat and direct call feature are available in the 'contact us' section of the app. Sorry to read you are having issues with accessing statements, what happens when you try to download them? I'd like to help. AG"", 'modified': '2022-06-29T14:22:22Z'}",,,en,gb
16,53,App Store,6120863f-73e7-4000-afe4-7ac56ec574b6,2022-10-01,"App has suddenly altered to not showing my accounts! Tried using ‘Contact us’ in Help section but the chat-bot is, of course, totally useless and doesn’t understand. When you phone they are so busy it refers you to the chat-bot! I’ve been with Barclays for thirty years and am feeling penalised for my loyalty. Twenty years ago they were much better; then they started to lose the plot. Gradually the standards have slipped. They are more remote and consequently out of touch with good service. Mostly I don’t mind as remote, digital banking suits my needs. But the app has become increasingly glitchy, throwing up pop up messages with errors. Now it seems to be broken and that remoteness means I can’t bring it to their attention. Broken app, broken business model. UPDATE: Now it’s started sending push notifications even though they are turned off in Settings. Talk about buggy.
Further Update: Statements now unavailable for months.",2,Marco234,Broken.,"{'id': 25962950, 'body': 'HI there. Thanks for reaching out. We are sorry that you experienced problems logging in to the app / viewing certain accounts. This should be fully resolved now. Please try again & let us know if you experience any further problems. Many Thanks. NL', 'modified': '2021-10-29T08:04:47Z'}",,,en,gb
17,55,App Store,af6bd007-057c-495e-bf0f-59e6802d8935,2022-09-27,"I have always liked both the mobile app and online banking. My only gripe is regarding the frequent updates. After each update on the app we have to accept the new T&Cs before being able to access the app. We are expected to read through the whole lot and then agree to it just for one or two changes, and without even knowing what the changes are. I was doing that but eventually did not have the time. What would make it more user friendly would be for the bank to highlight what the changes are, so that we would only have to look at the relevant sections. The other thing I would like to see is the ability to be able to print payment receipts from mobile payments, in the same way as you can from a computer.",4,Snodgrass the Great,Updates need to be clearer,,,,en,gb
18,59,App Store,5287259e-341d-4eb9-be05-842dcb6cfadb,2022-09-26,"Im currently trying to access the investments I’ve inherited, which to my misery and sorrow are held in a Barclays account. I’ve been given a 5 digit PIN number, a 12 digit membership number, a 5 digit phone banking number and I’ve just chosen a 5 digit number for the app. The app requires a Barclays current account, so it’s useless for me because I don’t have one of those (and would rather die than bank with them). The telephone banking doesn’t recognise my membership number and after 15 minutes going round the houses it rings off. Online banking doesn’t recognise my PIN or memorable name.
 It’s not like dealing with a business. It’s like dealing with a gang of very stupid and incompetent criminals who have taken my money hostage. All I want is to get my money and leave! And never, ever deal with these clowns again. 
They say they have “10 million customers” and there, in those three words, you have what’s wrong with British financial capitalism.",1,CuriousElephant,"Avoid Barclays like a horrible, flesheating plague",,,,en,gb
19,63,App Store,deab12b3-77cd-4f0c-bbf1-35bd053c327e,2022-11-04,"If I could give zero stars I would. Since Barclays updated their app a week ago my touch ID login no longer works and keeps switching itself off in the app on the settings that you can you select to allow touch ID login, I’ve tried everything can’t get it working again. Past updates they have done have also made the “freeze my card” option no longer work ever since and has never been rectified, even though I have complained like a 100 times. So I’m screwed if my debit card is ever lost or stolen if someone uses it before it’s frozen/cancelled the old fashioned way (calling the bank) well that’s a joke in itself as you can never get through to them by phone. Last time I was able to actually speak to someone by phone at Barclays was over 2 years ago. The app updates claim to rectify “bug fixes” but every time they update, my app seems to have even more glitches/ problems!",1,Marie Words,Update has caused problems,,,,en,gb
20,65,App Store,2570cff2-4055-4c0c-802f-274bd4caf9be,2022-10-31,"I have been using Barclays online banking for years and the app slowly caught up with the full website to the point where it was virtually as good with ease of use and presentation being faultless but, for the past month, it has become completely unusable (across each of my 3 different devices) due to a white box in the centre of the screen with an 'STA05' error message relating to the relatively new inter-bank connections that SHOULD show balances on savings accounts art other banks - wouldn't need it if Barclays offered decent savings rates on anything over £5K - and these error messages render the app unusable until the inter-bank connections are made in 30-60 seconds. Otherwise, it's still a really good app and, hopefully, Barclays will address this tiresome niggle at some point after which the app will move from 2* to 5*",2,Paul1London,Used to be a Brilliant App - now just a series of Error Messages,,,,en,gb
21,69,App Store,cde9c57b-b7d7-44e2-867c-fbd929dbbba2,2022-06-03,"I've tried a number of banking apps but consistently find the Barclays app to be the easiest to use, with a lot of features, whilst still maintaining a clear layout of information. It’s now far more intuitive and it’s often easy to figure out how to do what you need.

The only thing I can fault it on is poor choice of colours for the headings at the bottom of the screen that tell you which function/screen you’re in (Accounts, Products, Pay & Transfer etc). I think the accessibility team took a day off when that was designed. The current feature highlights as a bright blue on pale (Barclays) blue & the other features are shown as a grey on pale blue. 

All in all though, a great app.",4,Silly Brit,One of the best banking apps but could be better (and less annoying),,,,en,gb
22,74,App Store,0865a3b2-cb20-4622-9fb0-c693375dd6f3,2023-02-28,The App is generally easy to use but there seems to be two significant bugs. Firstly the balance doesn’t update after a payment transaction … and the only way I can find to force this is to log out and back in again. This is really poor … unless I am missing something? The second issue is that the often the “Pay/Transfer” screen of options isn’t responsive to me touching either the Pay or the Transfer icons. I can’t figure out the pattern of when it does or doesn’t work but it is usually Ok when doing your first Pay/ Transfer and then seems to be incredibly hit and miss … again poor and very frustrating (need to go in out of the screens or just wait a few mins for it to allow the function to work again).,3,AppUserCA99,Doesn’t update balance after payment,,,,en,gb
23,76,App Store,2b940ca3-16c8-47c7-b8c9-8024cd97430a,2023-01-10,"Barclays are able to delete calls and messages sent via app in contravention of data retention laws in UK/EU. This happened to us recently where in a payment dispute, Barclays claimed no calls/msg instructions were made through the app therefore no instructions were received. This despite the fact we spent 4 hours disputing the case with 3x Barclays CS and 1x fraud prevention teams. Several msg were also sent to Barclays via app which upon logging into our web account were found to be deleted as well. Barclays sent CS adviser involved in dispute on retraining. Barclays were then able to win the case at regulatory ombudsman by claiming no instructions were sent. Had we been able to prove our instructions, we would have claimed 20k in compensation. Warning: Barclays should only be given instructions via regular phone call which should be recorded for dispute purposes.",1,Jos Lohan,Data privacy not guaranteed. Avoid app to communicate with  Barclays,,,,en,gb
24,79,App Store,794b144f-3138-469e-904e-c51a61e791d8,2023-02-04,"Hi, I would just like to say this app is usually amazing, no problems for as long as I have had it. However, a recent interaction with customer service has let the app down. I was phoning for my 12 year old daughter to say she was going abroad to NYC. Then I said them that I was not going, the person replied “ your 12 year old daughter is going alone “ and other similar things as if I was dumb ( daughter is going with her school ). Then said that you didn't have to tell them your going abroad anymore ( which is fine ) but then said “ in the olden days” and acted as if I was a dumb old lady. However I still love the app and would recommend more of the options being on the home screen so they are easier to access. I would recommend this app to friends.",3,moony revewer,Great… but the customer service isn’t,,,,en,gb
25,81,App Store,1eae9d01-adeb-4d37-87ed-f28222bad64b,2022-08-15,"This app is pretty perfect at doing what it does and what it should do. Everything is so simple that after just a few uses it becomes effortless to operate. I did have a problem with the app one day when it kept crashing when I selected a certain option, but I’m still giving it a 5 star rating because even though this tiny error detracts from my otherwise optimum experience with the app it wouldn’t be right to lose a star for it. Maybe if I could rate with a decimal point I’d give it a 4.99 star rating, but as I cannot do so, it’s getting a 5!! Well done Barclays (remember me when I come begging for an overdraft!! lol!).",5,LeeTh1rt3en,As intuitive and easy to use as it gets!,,,,en,gb
26,97,App Store,2c44f3fa-4602-4598-9df0-34ebd3d4cf05,2023-03-21,"Definitely one of the better banking apps available. BUG REPORT: iPhone 11 Pro Max, IOS 16.3.1 - when trying to enable notifications inside the app (via the prompt within the app itself), they switch on. But when you exit, the ‘on’ function is not saved. Eg. If I go back in to notifications it shows that they are disabled. This has been like this for several months. This is a quite important feature, particularly for business users awaiting a response from customer support! 
Note: notifications are enabled on my device (via the Apple settings for your app), so this is definitely an app bug and not an IOS bug.
You can have your extra star back when it’s fixed 😃",4,Tomarse49,Good app,,,,en,gb
27,99,App Store,0747ae5c-ab4a-403f-a8e6-6ca4b4689707,2022-11-24,"It’s ok but a few issues. My window cleaner changed bank accounts. Can I delete the old account from my recent payee list? Not as far as I can see. That’s pretty basic. So, let’s see which account I paid last time. Oh the transaction screen shows my account details (why?) but not theirs. 

If you want to pay an overseas bill you can only send a round amount in pounds, not the exact amount in the foreign currency. So you either send more than you need to or you go into a branch to do it (and they try and get rid of you by telling you to use the app). 

If you do go into the branch to make the payment don’t expect that account to show up in the list of recent payees list in the app. The app seems to be a separate entity.",3,dowlingu@l,Good as far as it goes,,,,en,gb
28,100,App Store,2568c96c-0cd4-4bbc-95c0-a97965737abd,2022-07-26,"I love this app and think it’s a great and intuitive app most of the time. I use the spending option all the time to track and reduce my spendings. I read below that it’s coming back asap but still nothing is back. Please update and bring spending back its a very important feature if not the main one. I will change my review to 5 stars once it’s back. Edit: No, still no spending tracker for iOS. Disappointed to see this still not back with the latest update. We are now 15/04, if no timeline is set to bring it back, I will consider moving.

Update 25/07 : all is back to normal. Changed my review to 5 stars",5,Ayoubolok,Make Barclays app Great Again,"{'id': 29001119, 'body': 'Hi thanks for your feedback, sorry to hear that the Spending tool is still not showing for you. It should be now, would you be able to check and let us know? Thanks, Nick', 'modified': '2022-04-06T08:29:36Z'}",,,en,gb
29,104,App Store,10136a51-35ee-4b41-838b-18d87be27f8e,2022-07-21,"My name is Harrison Omorodion I advised my wife to open a baclay account never knew it was an unwise decision . It all started early march 2022 I started saving up money in my wife baclay account for the purpose of paying schools . When the amount was completed I asked her to send me the money which she did but network was terrible and my wife also advice that I apply for 1500£ that was advertised in the university where I school so I sent are the total money of 4000£ for safe keeping but baclay bank froze the account and held the money as we speak till now they have refused to release the money I have sent them statements of account and my business registration certificate but they are still holding the money . My fear now is that I may not be able to graduate because I can’t access the school app anymore to submit my project work 
I am so sad I don’t know what else to do 
Harrison",1,Harrytsar,BACLAY UNTOLD HARDSHIP,,,,en,gb
30,110,App Store,6486863f-58aa-46fa-884c-58f9060441d6,2022-10-29,"This app used to work quite well but some months ago it started to crash when I tried to do transfers between my own accounts. I’ve since replaced my phone and reinstalled and updated the app. But it still crashes inelegantly when I try to make between account transfers. It also gives messages about my phone software being too old despite having cancelled the old phone from the account. Plus, most times when I want to use it at the weekend it says it cannot access some of my details and I shd try later. But I get the message repeatedly. It’s not much use. And there seems to be no way to complain or ask for assistance with it other than following the link to rate it here. I’ve gone back to using my laptop, much more inconveniently.",2,Jakey492,no transfers,,,,en,gb
